address,title,alt title,first appearance month,first description,latest apperance month,latest description,permit category,permitted units,max density,parcel size,site status,identified in last 2 cycles
"250 Bryant St, Mountain View, CA 94041",250 Bryant Street ,Bryant/Dana Office ,2013-5,"In December 2012, Lund Smith applied for a permit to construct a three-story, 68,000 square foot office building at the Dunn’s Automotive site. Final Council action is expected in July 2013. ",2015-8,"In July 2013, the City Council approved a 67,772 square foot, three-story office building on a 1.13 acre site at the corner of Bryant Street and West Dana Street. The building replaces existing commercial structures and creates approximately 56,000 square of net new development. Status/Next Step (s): Construction is nearl y complete and building occupancy is expected in July/August 2015. Planning Area: Cen tral Neighborhoods Project Planner: Rebecca Shapiro Applicant: 250 Bryant Mountain View LLC / Smith Equities",no permit,0,,,,
"250 Mayfield Ave, Mountain View, CA 94043",250 M ayfield  Ave.,San Antonio Station ,2014-10,"In May, 2014, Google Inc. submitted a request for façade and site improvements for an amenities building on a 17.3 acre site. Status/Next Step(s): Approved. Construction began in August 2014 and is expected to be completed in spring 2015. Planning Area: Monta Loma Planner: Margaret Netto",2015-2,"In May, 2014, Google Inc. submitted a request for façade and site improvements for an amenities building on a 17.3 acre site. Status/Next Step(s): Approved. Construction began in August 2014 and is expected to be completed in spring 2015. Planning Area: Monta Loma Planner: Stephanie Williams",no permit,0,,,,
"250 Middlefield Rd, Palo Alto, CA 94301",250 Middlefield Ave.,San Antonio Station ,2014-8,"In May, 2014, Google Inc. submitted a request for façade and site improvements for an amenities building on a 17.3 acre site. Status/Next Step(s): Under review. Planning Area: Monta Loma Planner: Margaret Netto",2014-8,"In May, 2014, Google Inc. submitted a request for façade and site improvements for an amenities building on a 17.3 acre site. Status/Next Step(s): Under review. Planning Area: Monta Loma Planner: Margaret Netto",no permit,0,,,,
"250 San Antonio Cir, Mountain View, CA 94040",250 San Antonio Circle  ,Community School of Music and Art ,2015-11,Request for a Planned Community Permit to allow construction of a new building and parking lot associated with the Community School of Music and Art replacing two existing auto repair buildings.,2020-5,"On February 12, 2020, the Zoning Administrator approved a one-year Permit Extension for a Planned Community Permit, Development Review Permit and Provisional Use Permit to allow the demolition of two auto repair buildings and an associated shed to construct a new 3,350 square foot building for the Community School of Music and Arts (CSMA), located on the adjacent parcel at 230 San Antonio Road, and a Heritage Tree Removal Permit to remove two Heritage trees. The project is located on the west side of San Antonio Road between San Antonio Circle and California Street in the P-40 (San Antonio) Precise Plan.",no permit,0,,,,
"250 San Antonio Rd, Mountain View, CA 94040",250 San Antonio C ircle,Community School of Music and Art ,2020-3,"On February 12, 2020, the Zoning Administrator approved a one-year Permit Extension for a Planned Community Permit, Development Review Permit and Provisional Use Permit to allow the demolition of two auto repair buildings and an associated shed to construct a new 3,350 square foot building for the Community School of Music and Arts (CSMA), located on the adjacent parcel at 230 San Antonio Road, and a Heritage Tree Removal Permit to remove two Heritage trees. The project is located on the west sid e of San Antonio Road between San Antonio Circle and California Street in the P-40 (San Antonio) Precise Plan. Projects Under Construction",2020-3,"On February 12, 2020, the Zoning Administrator approved a one-year Permit Extension for a Planned Community Permit, Development Review Permit and Provisional Use Permit to allow the demolition of two auto repair buildings and an associated shed to construct a new 3,350 square foot building for the Community School of Music and Arts (CSMA), located on the adjacent parcel at 230 San Antonio Road, and a Heritage Tree Removal Permit to remove two Heritage trees. The project is located on the west sid e of San Antonio Road between San Antonio Circle and California Street in the P-40 (San Antonio) Precise Plan. Projects Under Construction",no permit,0,,,,
"2500 California St, Mountain View, CA 94040",2500 California Street ,Planned Parenthood,2018-3,"Request for a Provisional Use Permit for a medical office use to locate in an existing 7,994 square foot, multi-tenant commercial building and a parking reduction to allow 31 parking spaces in lieu of 38 required spaces on a 0.57 acre project site; and a determination that the project is categorically exempt pursuant to Section 15301 (“Existing Facilitie s”) of the CEQA Guidelines. This project is located at the northwest corner of Showers Drive and California Street in the P-40 (San Antonio) Precise Plan. hearing.",2018-7,"On March 14, 2018 the Zoning Administrator approved a Provisional Use Permit for a medical office use to locate in an existing 7,994 square foot, multi-tenant commercial building and a parking reduction to allow 31 parking spaces in lieu of 38 required spac es on a 0.57 acre project site. The project is located at the northwest corner of Showers Drive and C alifornia Street in the P-40 (San Antonio) Precise Plan.",no permit,0,,,,
"2500 Grant Rd, Mountain View, CA 94040",2500 Grant Rd.,El Camino Real Hospital Campus ,2014-8,"Request for a Planned Community Permit to construct a new 2-story, 38,000 sq. ft. Behavioral Health building and a Heritage Tree Removal Permit to remove 23 heritage trees at El Camino Hospital to replace an existing single-story, 21,000 sq. ft. Behavioral Health building on a 38.1 acre project site. Status/Next Step(s): Under Review. Planning Area: Miramonte/Springer Project Planner: Lindsay Hagan",2019-10,"On June 22, 2016, the City Council approved a Planned Community Permit to construct a new 2-story, 56,000 square foot behavioral h ealth building, a new 7-story, 26 5,000 square foot medical office building, a new 5-level, 390-stall parking structure adjacent to the new medical office building, and 4-level, 430-stall addition to the existing North Parking Garage; and a Heritag e Tree Removal Permit to remove 40 Heritage trees and relocate 1 7 Heritage trees on the 40-acre hospital campus. The project includes de molition of the following existing buildings: a 16,000 square foot behavioral health building, a 260,000 square foot Old M ain Hospital Building, and an 80,500 square foot North Addition Building (adjacent to the Old Main Hospital) and removal of 220 surface parking stalls. The project site is located on El Camino Hospital campus in the P-24 (El Camino Medical Park) Precise Plan.",no permit,0,,,,
"2545 W Middlefield Rd, Mountain View, CA 94043",2545 -2585 West Middlefield  Road,Alvin/Middlefield ,2013-5,"In May 2011, Council approv ed construct 32 rowhouse units on 1.9 acres. Construction has commenced. Completion is expected by June 2014. ",2013-10,"In May 2011, Council approv ed 32 rowhouse units on 1.9 acres. Construction began in August 2012 and c ompletion is expected by the end of 2013. ",no permit,0,,,,
"257 Calderon Ave, Mountain View, CA 94041",257 - 265 Calderon Avenue,,2018-5,"Request for a Planned Unit Development Permit and a Development Review Permit to construct a 16-unit rowhouse development to replace nine existing residential units and a Heritage Tree R emoval Permit to remove five Heritage Trees on a 0.91 acre project site. The project is located on the east side of Calderon Avenue, north of Dana Street in the R-3-2 (Multiple-Family Residential) district.",2020-5,"On May 8, 2018, the City Council approved a Planned Unit Development Permit and a Development Review Permit to construct a 16-unit rowhouse development to replace nine existing residential units and a Heritage Tree Removal Permit to remove five Heritage trees on a 0.91-acre project site. The project is located on the east side of Calderon Avenue, north of Dana Street, in the R-3-2 (Multiple-Family Residential) district.",Single-Family Attached Unit,4,,,,
"2580 California St, Mountain View, CA 94040",2580 California Street,,2013-5,"In October 2011, Council authorized a Gatekeeper request by Prometheus to study a high- density apa rtment project on the existing Safeway site. In June 2012, the project was put on hold by the applicant. ",2023-2,"On June 26, 2018, the City Council approved a Master Plan, Planned Community Permit, and Development Review Permit to construct a mixed-use development with 632 residential units and 20,000 square feet of commercial space with below-grade parking, replac ing an existing 70,000 square foot office building and 53,000 square feet of existing retail; a Heritage Tree Removal Permit to remove 78 Heritage trees; and a Lot Line Adjustment to mer ge two lots into one 8.63-acre project site. These properties comprise the North of California Street Master Plan Area and are located on the north side of California Street between San Antonio Road and Pacchetti Way in the P-40 (San Antonio) Precise Plan.",5 or More Units Per Structure,632,,,,
